,CASENUM,ATTORNEY,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS
54,178,1,1.0,1.0,0.0,60.0,1.669
55,195,1,0.0,1.0,0.0,30.0,33.633
56,301,0,1.0,1.0,0.0,,0.305
57,304,1,1.0,0.0,0.0,10.0,6.694
58,335,0,1.0,1.0,0.0,44.0,0.139
59,339,0,0.0,1.0,0.0,10.0,0.987
60,354,0,1.0,1.0,0.0,,0.0
61,359,0,0.0,1.0,0.0,,0.53
62,366,1,0.0,,,35.0,5.563
63,387,0,0.0,1.0,0.0,54.0,0.17
64,405,1,1.0,1.0,0.0,38.0,1.513
65,445,0,1.0,1.0,0.0,60.0,0.73
66,470,0,0.0,1.0,0.0,,3.638
67,505,0,0.0,1.0,0.0,30.0,0.08
68,530,0,1.0,0.0,0.0,17.0,0.31
69,590,1,0.0,1.0,0.0,4.0,0.3
70,607,1,0.0,1.0,0.0,56.0,44.06
71,608,1,0.0,1.0,0.0,63.0,1.6
72,614,1,0.0,1.0,0.0,55.0,0.895
73,664,1,0.0,1.0,0.0,47.0,0.441
74,670,0,0.0,1.0,0.0,0.0,0.445
75,740,1,0.0,1.0,0.0,5.0,3.5
76,743,0,0.0,1.0,0.0,38.0,0.909
77,780,0,1.0,1.0,0.0,,0.0
78,784,1,0.0,1.0,0.0,40.0,1.875
79,790,0,0.0,1.0,0.0,57.0,3.889
80,840,1,1.0,1.0,0.0,17.0,1.765
81,908,0,1.0,1.0,0.0,1.0,0.517
82,970,1,1.0,,0.0,,9.73
83,996,1,1.0,0.0,0.0,11.0,1.71
84,1001,1,0.0,1.0,0.0,40.0,0.834
85,1009,0,1.0,1.0,0.0,10.0,1.031
86,1003,1,0.0,1.0,0.0,18.0,3.37
87,1010,0,1.0,1.0,0.0,35.0,0.15
88,1013,1,1.0,1.0,0.0,11.0,4.117
89,1017,1,1.0,1.0,0.0,16.0,4.44
90,1018,0,1.0,1.0,0.0,,0.8
91,1054,1,1.0,1.0,0.0,0.0,4.506
92,1063,0,1.0,1.0,0.0,8.0,0.86
93,1091,1,0.0,1.0,0.0,31.0,3.018
94,1010,1,0.0,1.0,0.0,50.0,1.467
95,1011,0,1.0,1.0,0.0,71.0,0.098
96,1013,0,1.0,1.0,0.0,,3.681
97,1054,1,0.0,1.0,0.0,1.0,34.571
98,1057,1,0.0,1.0,0.0,16.0,8.698
99,1059,0,0.0,1.0,0.0,9.0,0.46
100,1078,0,0.0,1.0,0.0,6.0,0.71
101,1156,0,1.0,1.0,0.0,43.0,0.535
102,1164,1,1.0,1.0,0.0,35.0,1.435
103,1189,1,1.0,1.0,0.0,,1.433
104,1309,0,0.0,1.0,0.0,7.0,0.589
105,1304,1,0.0,1.0,0.0,43.0,4.485
106,1315,1,0.0,1.0,0.0,19.0,40.364
107,1349,1,1.0,0.0,0.0,10.0,3.975
108,1388,0,1.0,1.0,0.0,31.0,0.595
109,1404,1,0.0,1.0,0.0,,0.755
110,1470,1,0.0,1.0,0.0,69.0,1.05
111,1473,0,1.0,1.0,0.0,33.0,0.41
112,1491,1,1.0,0.0,0.0,40.0,5.444
113,1496,0,1.0,1.0,0.0,,0.365
114,1568,0,1.0,1.0,0.0,8.0,0.38
115,1589,1,0.0,1.0,0.0,,3.06
116,1599,0,1.0,1.0,0.0,,0.765
117,1606,1,1.0,1.0,0.0,41.0,3.595
118,1655,1,1.0,1.0,0.0,43.0,3.031
119,1661,0,1.0,1.0,0.0,,6.35
120,1690,1,1.0,1.0,0.0,10.0,0.305
121,1740,1,1.0,1.0,0.0,9.0,5.813
122,1755,1,1.0,1.0,0.0,46.0,0.05
123,1758,1,1.0,1.0,0.0,7.0,1.99
124,1838,1,1.0,1.0,0.0,30.0,4.414
125,1846,0,1.0,1.0,0.0,43.0,3.863
126,1879,0,0.0,1.0,0.0,,0.15
127,1896,1,0.0,1.0,0.0,33.0,7.761
128,1939,0,0.0,1.0,0.0,54.0,0.747
129,1958,0,0.0,1.0,,40.0,1.577
130,1990,0,1.0,1.0,0.0,48.0,0.345
131,3067,0,1.0,1.0,0.0,50.0,0.056
132,3087,1,,,,,3.04
133,3093,1,1.0,1.0,0.0,,9.796
134,3047,1,1.0,1.0,0.0,31.0,4.46
135,3151,0,0.0,1.0,0.0,1.0,0.08
136,3157,0,0.0,1.0,0.0,,0.085
137,3190,1,0.0,1.0,1.0,0.0,1.005
138,3198,0,1.0,1.0,0.0,61.0,0.535
139,3305,1,0.0,1.0,0.0,8.0,0.973
140,3314,1,1.0,1.0,0.0,7.0,0.655
141,3337,0,1.0,1.0,0.0,37.0,3.667
142,3384,1,0.0,1.0,0.0,,0.615
143,3443,1,0.0,1.0,0.0,4.0,8.616
144,3446,1,0.0,1.0,0.0,75.0,3.0
145,3465,0,1.0,1.0,0.0,80.0,0.091
146,3500,0,0.0,1.0,0.0,33.0,1.38
147,3531,1,0.0,1.0,0.0,6.0,49.56
148,3546,1,1.0,1.0,0.0,40.0,59.497
149,3561,0,1.0,1.0,0.0,10.0,0.443
150,3571,1,1.0,1.0,0.0,40.0,8.74
151,3580,1,1.0,1.0,0.0,,1.79
152,3605,0,1.0,1.0,0.0,6.0,0.075
153,3667,1,0.0,1.0,0.0,66.0,0.507
154,3668,1,1.0,1.0,0.0,41.0,1.579
155,3677,1,1.0,1.0,0.0,56.0,6.44
156,3699,1,0.0,1.0,0.0,17.0,33.451
157,3707,1,1.0,1.0,0.0,13.0,40.46
158,3763,1,0.0,,,0.0,9.031
159,3791,0,0.0,0.0,0.0,51.0,0.05
160,3800,0,0.0,0.0,0.0,33.0,1.509
161,3848,0,0.0,1.0,0.0,10.0,0.375
162,3874,0,1.0,1.0,0.0,,0.8
163,3901,1,1.0,1.0,0.0,18.0,4.089
164,3906,0,0.0,0.0,,39.0,0.148
165,3900,0,0.0,1.0,0.0,0.0,0.01
166,3905,0,0.0,1.0,0.0,46.0,0.678
167,3910,0,1.0,0.0,0.0,39.0,0.14
168,3939,1,0.0,1.0,0.0,10.0,4.139
169,3974,1,1.0,1.0,0.0,34.0,0.1
170,3995,1,0.0,1.0,0.0,8.0,0.47
171,4066,1,1.0,1.0,0.0,41.0,4.84
172,4083,1,1.0,1.0,0.0,7.0,4.503
173,4000,1,1.0,1.0,0.0,18.0,1.638
174,4006,1,1.0,1.0,0.0,41.0,3.489
175,4084,0,0.0,1.0,0.0,10.0,4.375
176,4088,0,1.0,1.0,0.0,1.0,0.48
177,4096,0,1.0,1.0,0.0,6.0,0.604
178,4101,0,1.0,1.0,0.0,4.0,4.117
179,4130,1,0.0,1.0,0.0,15.0,9.898
180,4137,0,0.0,0.0,0.0,8.0,1.667
181,4148,0,0.0,1.0,0.0,5.0,0.0
182,4196,0,0.0,1.0,0.0,0.0,0.44
183,4409,1,1.0,1.0,0.0,,1.009
184,4465,0,0.0,1.0,0.0,,7.064
185,4490,1,1.0,1.0,0.0,40.0,1.53
186,4507,1,1.0,1.0,0.0,,0.377
187,4561,1,0.0,1.0,0.0,61.0,0.307
188,4593,1,0.0,,0.0,43.0,0.013
189,4681,0,1.0,0.0,0.0,65.0,0.373
190,4684,0,1.0,1.0,0.0,14.0,1.595
191,4695,1,0.0,1.0,0.0,10.0,5.345
192,4707,0,1.0,1.0,0.0,6.0,0.0
193,4708,0,1.0,1.0,0.0,49.0,3.968
194,4780,1,1.0,1.0,0.0,33.0,0.617
195,4789,0,1.0,1.0,0.0,8.0,1.478
196,4799,1,0.0,1.0,0.0,30.0,3.677
197,4835,0,1.0,1.0,0.0,50.0,0.145
198,4844,1,0.0,1.0,0.0,49.0,0.39
199,4915,0,1.0,,0.0,9.0,3.6
200,4919,0,1.0,1.0,0.0,17.0,0.054
201,4935,0,1.0,1.0,0.0,55.0,0.5
202,4970,1,1.0,1.0,0.0,18.0,3.086
203,5000,1,1.0,0.0,0.0,10.0,1.847
204,5010,1,1.0,0.0,0.0,38.0,0.714
205,5051,1,1.0,1.0,0.0,11.0,1.1
206,5076,0,1.0,1.0,0.0,,0.108
207,5108,0,0.0,1.0,0.0,41.0,0.795
208,5100,1,1.0,1.0,0.0,37.0,15.816
209,5151,0,0.0,0.0,0.0,13.0,4.508
210,5184,0,1.0,1.0,0.0,49.0,0.608
211,5187,0,1.0,1.0,0.0,10.0,0.886
212,5304,0,1.0,1.0,0.0,4.0,0.0
213,5340,0,1.0,1.0,0.0,40.0,3.75
214,5359,1,1.0,1.0,0.0,60.0,0.466
215,5376,0,1.0,1.0,0.0,77.0,0.944
216,5380,0,1.0,1.0,0.0,10.0,3.435
217,5381,1,1.0,1.0,0.0,8.0,5.409
218,5400,0,1.0,1.0,0.0,0.0,0.04
219,5491,0,1.0,1.0,0.0,14.0,0.808
220,5504,0,1.0,1.0,1.0,7.0,0.983
221,5547,0,0.0,1.0,0.0,44.0,0.035
222,5560,0,0.0,1.0,0.0,,3.013
223,5639,0,0.0,1.0,0.0,9.0,1.38
224,5641,0,0.0,1.0,0.0,6.0,0.64
225,5666,1,0.0,1.0,0.0,19.0,1.644
226,5685,0,1.0,1.0,0.0,6.0,1.461
227,5708,1,0.0,1.0,0.0,7.0,0.64
228,5730,1,1.0,1.0,0.0,35.0,4.604
229,5745,0,1.0,1.0,0.0,31.0,3.95
230,5748,0,0.0,1.0,0.0,49.0,0.15
231,5758,0,0.0,1.0,0.0,39.0,1.04
232,5800,0,1.0,1.0,0.0,34.0,4.09
233,5819,1,0.0,0.0,0.0,37.0,1.57
234,5881,1,1.0,,0.0,40.0,3.068
235,5900,1,1.0,1.0,0.0,17.0,1.619
236,5918,1,1.0,1.0,0.0,5.0,0.901
237,5949,1,1.0,0.0,0.0,19.0,0.885
238,5954,0,1.0,1.0,0.0,16.0,0.968
239,5956,0,1.0,1.0,0.0,6.0,0.011
240,5991,0,0.0,1.0,0.0,34.0,0.66
241,6014,0,1.0,1.0,0.0,38.0,6.509
242,6080,1,0.0,1.0,0.0,41.0,40.0
243,6000,1,0.0,1.0,0.0,35.0,3.033
244,6005,0,1.0,1.0,0.0,5.0,0.094
245,6008,0,1.0,1.0,0.0,40.0,3.7
246,6134,0,1.0,1.0,0.0,13.0,0.958
247,6195,0,1.0,1.0,0.0,7.0,0.5
248,6313,1,0.0,1.0,0.0,,1.835
249,6330,0,1.0,1.0,0.0,8.0,0.134
250,6330,0,1.0,1.0,0.0,49.0,0.51
251,6368,1,1.0,1.0,0.0,50.0,6.608
252,6409,0,0.0,1.0,0.0,50.0,0.35
253,6434,1,0.0,1.0,0.0,10.0,5.307
254,6491,1,1.0,1.0,0.0,,3.974
255,6543,1,0.0,1.0,0.0,30.0,4.0
256,6570,1,1.0,1.0,,17.0,3.63
257,6579,1,0.0,1.0,0.0,15.0,3.07
258,6593,1,0.0,1.0,0.0,0.0,0.709
259,6641,1,0.0,1.0,1.0,66.0,4.53
260,6680,0,1.0,1.0,0.0,30.0,0.877
261,6690,0,0.0,1.0,0.0,30.0,0.118
262,6697,0,0.0,0.0,0.0,6.0,0.598
263,6790,0,1.0,1.0,0.0,30.0,0.76
264,6869,1,0.0,1.0,0.0,50.0,0.675
265,6881,1,1.0,1.0,0.0,19.0,1.74
266,6936,0,1.0,1.0,0.0,49.0,4.164
267,6976,0,0.0,1.0,,40.0,0.386
268,7005,0,1.0,1.0,0.0,54.0,0.084
269,7035,1,0.0,0.0,0.0,3.0,0.851
270,7007,1,1.0,1.0,0.0,5.0,0.057
271,7009,1,1.0,1.0,0.0,6.0,4.3
272,7013,1,0.0,1.0,0.0,39.0,1.088
273,7035,0,1.0,1.0,0.0,9.0,3.0
274,7038,1,1.0,1.0,0.0,,0.909
275,7041,1,1.0,1.0,0.0,5.0,0.78
276,7057,1,1.0,1.0,0.0,37.0,4.018
277,7060,0,0.0,1.0,0.0,,81.0
278,7097,0,1.0,1.0,0.0,5.0,0.518
279,7107,1,0.0,1.0,0.0,47.0,0.15
280,7108,1,1.0,1.0,0.0,69.0,1.076
281,7140,0,0.0,1.0,0.0,38.0,1.031
282,7163,0,0.0,1.0,0.0,,0.011
283,7309,1,1.0,1.0,1.0,19.0,3.714
284,7350,0,1.0,1.0,0.0,,0.03
285,7381,0,1.0,1.0,0.0,7.0,7.45
286,7386,1,0.0,1.0,0.0,10.0,1.617
287,7406,1,1.0,1.0,0.0,19.0,68.56
288,7477,0,0.0,1.0,0.0,6.0,0.708
289,7484,1,1.0,1.0,0.0,5.0,6.08
290,7498,0,1.0,1.0,0.0,31.0,0.01
291,7586,1,1.0,1.0,0.0,17.0,3.34
292,7605,1,0.0,1.0,0.0,6.0,1.47
293,7647,1,1.0,1.0,0.0,10.0,3.33
294,7667,0,1.0,1.0,0.0,,3.099
295,7670,1,1.0,0.0,0.0,6.0,1.617
296,7694,0,0.0,1.0,0.0,0.0,0.5
297,7704,0,1.0,1.0,0.0,39.0,0.434
298,7707,0,0.0,1.0,0.0,,0.04
299,7713,0,1.0,1.0,0.0,46.0,1.47
300,7748,1,0.0,1.0,0.0,7.0,0.4
301,7769,0,1.0,0.0,0.0,,0.008
302,7776,0,0.0,1.0,0.0,41.0,3.31
303,7779,1,1.0,1.0,0.0,8.0,0.1
304,7791,0,1.0,1.0,0.0,8.0,0.7
305,7855,0,0.0,1.0,0.0,33.0,0.886
306,7883,0,1.0,1.0,0.0,5.0,4.058
307,7904,0,0.0,1.0,0.0,57.0,0.5
308,7909,0,1.0,1.0,0.0,36.0,0.15
309,7930,0,0.0,1.0,0.0,35.0,9.061
310,7971,0,0.0,1.0,0.0,41.0,0.746
311,7980,1,1.0,1.0,0.0,15.0,1.377
312,7996,1,1.0,0.0,0.0,13.0,1.056
313,7999,1,0.0,0.0,0.0,49.0,0.998
314,8005,0,1.0,1.0,0.0,0.0,1.38
315,8033,0,1.0,1.0,0.0,13.0,0.1
316,8036,0,0.0,1.0,0.0,0.0,0.005
317,8051,0,1.0,1.0,0.0,6.0,0.04
318,8174,0,1.0,1.0,0.0,,0.05
319,8300,1,0.0,1.0,0.0,36.0,1.104
320,8336,0,1.0,1.0,0.0,48.0,0.47
321,8338,0,0.0,1.0,0.0,10.0,0.505
322,8354,0,1.0,1.0,0.0,39.0,1.113
323,8380,0,0.0,1.0,0.0,6.0,4.478
324,8397,1,0.0,,0.0,,18.06
325,8400,0,1.0,1.0,0.0,46.0,0.005
326,8406,1,1.0,1.0,0.0,0.0,0.057
327,8410,1,1.0,1.0,0.0,9.0,3.309
328,8414,0,0.0,1.0,0.0,38.0,1.408
329,8418,0,1.0,1.0,0.0,6.0,5.049
330,8434,1,0.0,0.0,0.0,5.0,0.368
331,8471,0,0.0,1.0,0.0,54.0,1.405
332,8509,0,1.0,1.0,0.0,,1.0
333,8519,1,0.0,0.0,0.0,31.0,41.115
334,8570,1,0.0,1.0,0.0,8.0,5.83
335,8581,0,0.0,1.0,0.0,,0.9
336,8647,1,0.0,1.0,0.0,46.0,4.159
337,8673,0,1.0,1.0,0.0,33.0,0.78
338,8686,0,0.0,1.0,0.0,7.0,0.701
339,8699,0,1.0,1.0,0.0,11.0,4.19
340,8706,1,1.0,1.0,0.0,6.0,0.14
341,8713,0,1.0,1.0,0.0,41.0,4.691
342,8748,1,0.0,1.0,0.0,39.0,1.043
343,8770,0,1.0,1.0,0.0,16.0,0.861
344,8811,1,0.0,1.0,0.0,36.0,0.73
345,8816,1,0.0,0.0,0.0,19.0,1.43
346,8830,0,1.0,0.0,0.0,61.0,0.83
347,8846,0,1.0,1.0,0.0,56.0,3.009
348,8886,1,1.0,1.0,0.0,14.0,1.83
349,8938,0,1.0,1.0,0.0,34.0,4.349
350,8939,1,0.0,1.0,0.0,45.0,5.735
351,8940,1,1.0,1.0,0.0,53.0,7.549
352,8999,0,0.0,1.0,0.0,38.0,0.199
353,9047,0,1.0,,,10.0,0.163
354,9081,1,1.0,0.0,0.0,13.0,3.091
355,9030,1,1.0,0.0,0.0,36.0,4.405
356,9034,0,0.0,1.0,0.0,16.0,1.85
357,9071,1,1.0,1.0,0.0,31.0,9.017
358,9086,0,1.0,1.0,0.0,41.0,0.671
359,9097,1,1.0,1.0,0.0,60.0,3.997
360,9103,0,0.0,1.0,0.0,10.0,0.09
361,9113,1,1.0,1.0,0.0,44.0,3.199
362,9114,0,0.0,,0.0,9.0,1.77
363,9146,1,1.0,1.0,0.0,46.0,173.604
364,9151,0,1.0,1.0,0.0,8.0,0.405
365,9173,0,1.0,1.0,0.0,38.0,3.055
366,9304,1,0.0,1.0,0.0,,4.04
367,9330,1,0.0,1.0,0.0,34.0,0.567
368,9378,0,0.0,1.0,0.0,16.0,1.07
369,9407,0,0.0,1.0,0.0,0.0,0.035
370,9400,0,0.0,1.0,0.0,59.0,0.0
371,9437,1,1.0,1.0,0.0,30.0,3.634
372,9443,0,1.0,1.0,0.0,9.0,0.47
373,9510,1,1.0,1.0,0.0,,3.335
374,9514,1,1.0,1.0,0.0,46.0,8.801
375,9544,0,1.0,1.0,0.0,40.0,5.44
376,9546,1,1.0,1.0,0.0,54.0,1.149
377,9553,1,1.0,1.0,0.0,37.0,4.86
378,9555,1,1.0,1.0,0.0,67.0,1.035
379,9581,1,0.0,1.0,0.0,34.0,3.85
380,9600,1,1.0,1.0,0.0,8.0,0.989
381,9603,0,1.0,1.0,0.0,59.0,3.595
382,9604,1,1.0,1.0,0.0,35.0,8.508
383,9608,1,1.0,1.0,0.0,41.0,1.306
384,9605,1,0.0,1.0,0.0,6.0,0.905
385,9647,0,0.0,0.0,0.0,,0.371
386,9653,1,1.0,1.0,0.0,35.0,0.86
387,9660,0,1.0,1.0,0.0,55.0,0.604
388,9704,1,0.0,1.0,0.0,,3.595
389,9704,1,1.0,1.0,0.0,16.0,4.665
390,9758,0,1.0,1.0,0.0,36.0,1.351
391,9791,0,0.0,1.0,0.0,8.0,0.083
392,9793,0,1.0,1.0,0.0,6.0,0.495
393,9806,1,1.0,1.0,0.0,3.0,0.035
394,9800,1,1.0,,,5.0,5.163
395,9817,0,1.0,1.0,0.0,,0.756
396,9879,0,1.0,1.0,0.0,54.0,1.677
397,9910,0,0.0,,0.0,40.0,1.408
398,38,0,1.0,1.0,0.0,,0.056
399,6,1,0.0,1.0,0.0,,0.04
400,5,1,1.0,1.0,0.0,43.0,6.109
401,7,0,1.0,,,13.0,0.647
402,19,1,0.0,1.0,0.0,83.0,18.109
403,106,1,0.0,1.0,0.0,10.0,50.0
404,116,0,0.0,0.0,0.0,,0.684
405,156,1,0.0,1.0,0.0,13.0,4.776
406,188,1,1.0,1.0,0.0,35.0,5.405
407,198,0,1.0,1.0,,0.0,0.584
408,308,1,1.0,1.0,0.0,15.0,1.998
409,319,1,1.0,1.0,0.0,,1.995
410,479,1,1.0,1.0,0.0,45.0,49.015
411,545,0,1.0,1.0,0.0,40.0,0.834
412,564,1,0.0,0.0,0.0,5.0,1.6
413,565,0,0.0,1.0,0.0,49.0,1.68
414,575,1,0.0,1.0,0.0,14.0,4.916
415,590,1,0.0,1.0,0.0,48.0,68.548
416,593,0,0.0,1.0,0.0,43.0,0.745
417,606,1,0.0,1.0,0.0,60.0,5.087
418,758,0,1.0,1.0,0.0,9.0,0.185
419,861,1,0.0,0.0,0.0,50.0,3.719
420,870,0,1.0,1.0,0.0,10.0,1.97
421,876,0,0.0,1.0,0.0,40.0,0.505
422,884,1,0.0,1.0,0.0,6.0,0.396
423,895,0,1.0,1.0,0.0,11.0,0.487
424,945,0,0.0,0.0,0.0,15.0,0.54
425,960,1,1.0,1.0,0.0,11.0,1.13
426,993,0,1.0,1.0,0.0,10.0,0.385
427,997,1,1.0,,,,1.7
428,6,1,1.0,1.0,,4.0,0.057
429,30,1,1.0,1.0,0.0,16.0,0.089
430,64,1,0.0,0.0,0.0,15.0,0.984
431,94,1,1.0,1.0,0.0,,0.406
432,7,1,1.0,1.0,0.0,11.0,6.084
433,34,1,1.0,1.0,0.0,59.0,54.711
434,95,0,1.0,1.0,0.0,,3.584
435,99,1,0.0,1.0,0.0,36.0,4.045
436,158,1,1.0,1.0,0.0,6.0,3.47
437,169,0,1.0,1.0,0.0,40.0,4.0
438,171,1,1.0,1.0,0.0,6.0,3.883
439,189,0,0.0,1.0,0.0,57.0,3.889
440,196,0,0.0,1.0,0.0,,0.1
441,300,1,0.0,1.0,0.0,,1.63
442,308,1,1.0,1.0,0.0,40.0,0.857
443,330,0,1.0,1.0,0.0,7.0,0.557
444,331,1,1.0,1.0,0.0,10.0,3.064
445,363,1,1.0,1.0,0.0,,3.5
446,364,0,1.0,1.0,1.0,5.0,0.555
447,450,0,1.0,1.0,0.0,33.0,3.089
448,453,1,0.0,1.0,0.0,64.0,3.457
449,456,1,1.0,1.0,0.0,19.0,3.95
450,460,0,1.0,0.0,0.0,37.0,1.868
451,579,0,1.0,0.0,0.0,7.0,0.6
452,590,1,1.0,1.0,,5.0,0.488
453,617,1,1.0,1.0,0.0,5.0,0.995
454,656,1,1.0,,,0.0,0.109
455,696,0,0.0,,0.0,35.0,0.5
456,700,1,1.0,0.0,0.0,43.0,7.068
457,703,0,1.0,1.0,0.0,48.0,0.116
458,733,1,1.0,1.0,0.0,,93.0
459,763,0,1.0,,,66.0,0.985
460,768,0,1.0,1.0,0.0,10.0,1.069
461,873,0,1.0,1.0,0.0,0.0,0.08
462,883,0,0.0,1.0,0.0,34.0,1.36
463,890,0,0.0,1.0,0.0,14.0,1.086
464,907,0,0.0,1.0,0.0,30.0,0.5
465,901,1,,,,,1.069
466,904,0,1.0,1.0,0.0,50.0,0.045
467,905,0,0.0,1.0,,38.0,0.405
468,907,1,1.0,1.0,0.0,1.0,3.407
469,933,0,0.0,1.0,0.0,6.0,0.548
470,936,1,0.0,0.0,0.0,5.0,1.83
471,1003,0,0.0,1.0,0.0,,0.47
472,1090,1,1.0,1.0,0.0,50.0,4.005
473,1010,1,0.0,1.0,0.0,6.0,5.505
474,1030,1,0.0,0.0,0.0,30.0,8.07
475,1031,1,1.0,1.0,0.0,14.0,0.08
476,1058,1,0.0,1.0,1.0,39.0,61.047
477,1085,1,1.0,1.0,0.0,48.0,1.05
478,1110,1,0.0,1.0,1.0,10.0,1.318
479,1139,1,1.0,1.0,0.0,13.0,0.16
480,1150,0,0.0,1.0,0.0,47.0,0.09
481,1186,1,1.0,1.0,0.0,70.0,0.566
482,1308,0,1.0,1.0,0.0,35.0,0.975
483,1404,0,0.0,,,,0.37
484,1454,0,1.0,1.0,0.0,,0.783
485,1474,1,1.0,1.0,0.0,70.0,1.698
486,1478,0,1.0,1.0,0.0,39.0,0.84
487,1495,0,0.0,1.0,0.0,43.0,3.049
488,1500,1,0.0,0.0,0.0,,0.081
489,1544,1,1.0,1.0,0.0,35.0,3.603
490,1545,0,0.0,1.0,0.0,,0.4
491,1580,1,,1.0,0.0,14.0,5.5
492,1598,0,1.0,1.0,0.0,47.0,0.609
493,1670,1,1.0,1.0,0.0,15.0,3.085
494,1700,0,0.0,0.0,0.0,8.0,0.066
495,1767,0,1.0,1.0,0.0,,0.085
496,1785,1,1.0,1.0,0.0,9.0,1.645
497,1810,0,1.0,1.0,0.0,7.0,0.405
498,1843,0,1.0,1.0,0.0,3.0,0.1
499,1847,1,1.0,1.0,0.0,35.0,6.416
500,1901,1,0.0,1.0,0.0,55.0,6.85
501,1910,0,0.0,1.0,0.0,45.0,3.955
502,1935,1,0.0,1.0,0.0,40.0,7.7
503,1944,0,0.0,1.0,0.0,1.0,0.3
504,1980,0,0.0,1.0,1.0,49.0,1.633
505,1985,0,0.0,1.0,0.0,,3.854
506,1993,1,0.0,1.0,0.0,50.0,3.054
507,3003,0,0.0,1.0,0.0,47.0,0.15
508,3034,1,0.0,1.0,0.0,8.0,1.908
509,3070,1,1.0,1.0,1.0,,1.619
510,3090,0,0.0,1.0,0.0,19.0,0.957
511,3043,1,1.0,1.0,0.0,8.0,3.086
512,3060,1,0.0,1.0,0.0,5.0,0.453
513,3096,0,1.0,1.0,0.0,64.0,0.061
514,3133,0,0.0,1.0,0.0,19.0,0.605
515,3136,1,0.0,0.0,0.0,6.0,0.095
516,3149,0,1.0,1.0,0.0,64.0,0.131
517,3304,0,0.0,1.0,0.0,37.0,3.709
518,3309,1,1.0,0.0,0.0,5.0,3.06
519,3334,0,1.0,1.0,0.0,0.0,0.151
520,3401,1,1.0,1.0,0.0,63.0,0.34
521,3490,0,1.0,1.0,0.0,3.0,0.716
522,3570,1,,1.0,0.0,,7.857
523,3608,1,1.0,,,7.0,7.707
524,3700,1,0.0,1.0,0.0,5.0,0.065
525,3708,0,0.0,1.0,0.0,13.0,0.085
526,3734,1,0.0,1.0,0.0,57.0,6.063
527,3748,1,0.0,,0.0,,0.005
528,3753,1,1.0,1.0,0.0,51.0,4.366
529,3808,1,0.0,1.0,0.0,30.0,1.548
530,3840,0,0.0,1.0,0.0,,0.431
531,3906,0,1.0,1.0,0.0,50.0,0.435
532,3930,1,0.0,1.0,0.0,1.0,0.095
533,3957,0,1.0,1.0,1.0,30.0,1.069
